0,0.998409,"Call Inter—Campus programs 1800-327-6013     St. Patrick’s Catholic Church  Pro-Life Film “THE SILENT SCREAM""  About fetal development and abortion                 Thursday, Oct. 5 8 p.m. in the Church Basement  Mass Schedule Sat., Oct. 7, 5:00 p.m.",1989-1990,abortion
1,0.471447,"The Rlng-tum Phl, October 19, 1989  Abortion: The Final Solution?",1989-1990,abortion
2,0.696205,"Thus, I now propose that we look to science to solve the question of abortion.",1989-1990,abortion
3,0.147789,"So trust me, I’ll not talk of a new utopia, just abortion.",1989-1990,abortion
4,0.985572,Now the answer to abortion is easy.,1989-1990,abortion
5,0.005083,Should a woman have an abortion?,1989-1990,abortion
6,0.003248,I must admit that this idea of using science to solve the question of abortion is not entirely original.,1989-1990,abortion
7,0.968698,"First,  no longer does the question of abortion plague us.",1989-1990,abortion
8,0.039929,"Abortion clinics across America have been fascinated, if not frustrated, by its deceptive tactics for rs.",1989-1990,abortion
9,0.644214,"In the United States alone, legal abortions have claimed more lives than Adolf Hitler, Joseph  Stalin, the rest of World War It, all of World War I, and the war before that one, and so on, and so on, etc.",1989-1990,abortion
10,0.000103,"Pro-choice: protecting women’s rights  MY VIEW  By Elizabeth Parkins and Pamela Patton  “I think contraception is disgusting — people using each other for pleasure.” — Joseph Schneider, Director, Pro-Life Action League  I. Cameron Humphries’ extremely murky “My View,” with its limited comprehension of medical fact (classifying the fetus as an organ, and falsely clairriing that it struggles against abortion), its suspension of reality(mankind conquering death and achieving immortality) and its highly sophomoric tone, have no  place in an intelligent discussion of the abortion issue.",1989-1990,abortion
11,0.002732,"Furthermore, by comparing a woman’s right to abortion to Hitler’s “Final Solution,”Humphries is confusing a woman’s freedom to voluntarily choose an abortion with a totalitarian state’s forced genocide.",1989-1990,abortion
12,0.828673,"We must assume so, since he does assert that the fetus struggles for life against an abortion.",1989-1990,abortion
13,0.001376,"The New York Times answered the film\'s charges way back in March of 1985 by featuring five medical experts who discounted the theory that a l2—week—old fetus(91 percent of all abortions are performed within the first trimester) has sufficient nervous system development for any degree of consciousness, much less the ability to sense danger and react to It.",1989-1990,abortion
14,0.994717,We strongly support Mr. Humphries’ right to his anti-abortion stand.,1989-1990,abortion
